isrc,spotify_id,artist,title,album,duration_ms,release_date,spotify_popularity,playlist_count,playlist_sources
USR2M0900071,7y0MUu7TzIA7ZyieRsNK4d,Liquid Mind,"Into the Light, Pt. 1",Liquid Mind IX: Lullaby,326295,2009-03-03,,1,link_playlist_15
QZS7J2285329,16BMKSNU69eW0y1Q0vWvwa,Devin Kennedy,Forget About You (Intimate),Poetry (Intimate),100739,2022-08-19,,1,link_playlist_16
USWB12201789,6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,Glimpse of Us,233456,2022-06-10,,1,link_playlist_16
USWB12203732,26hOm7dTtBi0TdpDGl141t,Joji,Die For You,SMITHEREENS,211666,2022-11-04,,1,link_playlist_16
QZNWR2164926,4kJT7Yj6Za01KfKHjb7mZE,Montell Fish,Fall in Love with You.,JAMIE,132000,2022-07-22,,1,link_playlist_16
USUYG1156895,5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,17,120026,2017-08-25,,1,link_playlist_16
QZTGW2100833,5ChTVNcSgb3sC6qCuhDE0M,Gatton,Other's Melodies - Demo,Other's Melodies - Demo,114193,2022-01-26,,1,link_playlist_16
QZK6H2079546,1xHrPq8WvLKiO6lT94Ks2F,EKKSTACY,See You Later,See You Later,123319,2020-09-30,,1,link_playlist_16
QZTAU2186820,1nWplg2wIdoaajVFRaHzlf,Pity Party (Girls Club),Stuck on u,Hard Times / Bad Trips,80065,2022-01-02,,1,link_playlist_16
QM24S2106218,7uo2L5FAja3pWIBa3HJVeC,Zeph,could you love me while i hate myself,scared of everything,60333,2021-10-15,,1,link_playlist_16
QM42K1844237,5e2l2ZAMwHmrkdM4Z6NhAR,Shiloh Dynasty,Again,Vivid Pictures,157205,2018-03-13,,1,link_playlist_16
GBSMU6534331,5VujK2veNOmeh7jNj9zq1p,dwsdmusic,Talk It Out,Talk It Out,170482,2019-06-16,,1,link_playlist_16
GBKPL2170620,0kAsY8KaG5sM6uwAEt3qyg,Tommy Lefroy,Flight Risk,Flight Risk EP,59026,2021-11-17,,1,link_playlist_16
QZNWT2190406,40Fmr4mXhz4PtrMAPTnoXB,Montell Fish,Destroy Myself Just For You,JAMIE,146000,2022-07-22,,1,link_playlist_16
USRC11502852,6MowG7MRVgPfGlCMsXKMJ2,Sia,Bird Set Free,This Is Acting (Deluxe Version),252440,2016-10-21,,1,link_playlist_17
USRC12101538,7y3xU9vEC1s8DSuuoSYKih,Doja Cat,Been Like This,Planet Her,177373,2021-06-25,,2,link_playlist_17;link_playlist_20
KRA402200020,0ARKW62l9uWIDYMZTUmJHF,BLACKPINK,Shut Down,BORN PINK,175889,2022-09-16,,1,link_playlist_17
ITB920300035,4Ovy5UkvkweOluGd9hoKsR,Tiziano Ferro,Sere nere,111 Centoundici,264986,2003-06-01,,1,link_playlist_17
QZTB52268087,26b3oVLrRUaaybJulow9kz,Libianca,People,People,184791,2022-12-06,,1,link_playlist_17
FRZ041800916,3yKHE0h9BUxpHZe1EqmJnX,Aya Nakamura,Oula,NAKAMURA,158813,2018-11-02,,1,link_playlist_17
GBARL1300107,3JvKfv6T31zO0ini8iNItO,Tom Odell,Another Love,Long Way Down (Deluxe),244360,2013-06-24,,1,link_playlist_17
USUM72219476,35SbrfbaSpGUBX7e5BPega,Kali Uchis,I Wish you Roses,Red Moon In Venus,219954,2023-03-03,,1,link_playlist_18
QZNMZ2119037,7ISSqT0VPIh8A9tIVxurUu,Alina Baraz,Change My Mind,Moongate,174133,2021-10-29,,1,link_playlist_18
USUM72219487,0vQffWKfl0JyRqtdoZINEM,Kali Uchis,Deserve Me (with Summer Walker),Red Moon In Venus,265888,2023-03-03,,1,link_playlist_18
USQE92100358,1ciQU7ZQGHq129m3njp9en,Orion Sun,dirty dancer,dirty dancer,169720,2022-02-08,,1,link_playlist_18
US39N2202009,2m1joPV2mS8CjqxFs7EGMb,MMC,"Right Person, Wrong Time (feat. Umi & Yeek)","Right Person, Wrong Time (feat. Umi & Yeek)",195853,2022-10-17,,1,link_playlist_18
QMEZE2060785,7yyYmGQXSyrH7kLALSTFjg,Sun,Video Games,Video Games,220820,2021-08-20,,1,link_playlist_18
USSM12108482,6z6OFc8qYsqUBSOWta3nLV,RealestK,WFM,Dreams 2 Reality,136000,2022-10-28,,1,link_playlist_18
USUM72105926,7bcy34fBT2ap1L4bfPsl9q,Billie Eilish,I Didn't Change My Number,Happier Than Ever,158463,2021-07-30,,2,link_playlist_18;link_playlist_20
USSM12210038,0pZnsMWoaszzBpZF4c0O9W,RealestK,Yourself,Dreams 2 Reality,135468,2022-10-28,,1,link_playlist_18
USUM72020432,14gkWVFMwdxBMyqBw1wmIg,Ariana Grande,safety net (feat. Ty Dolla $ign),Positions,208457,2020-10-30,,1,link_playlist_18
USUG11902729,76YSWx6L6FNsuaP6GWBb8P,Labrinth,All For Us,Imagination & the Misfit Kid,191710,2019-11-21,,1,link_playlist_18
USUM72105927,2KnuaZYoGzDoHiBTNYOTXG,Billie Eilish,Billie Bossa Nova,Happier Than Ever,196730,2021-07-30,,1,link_playlist_18
USUM71806065,5Gnx5bNAglWcclJkuJnrys,Tierra Whack,Flea Market,Whack World,60000,2018-05-30,,1,link_playlist_18
USUG12203932,2lVYLiHGIX6GajMqYXF1Un,Jessie Reyez,FOREVER (with 6LACK),YESSIE,223157,2022-09-16,,1,link_playlist_18
USUYG1187316,6QpZXzHcOgXK41Y3YCx203,ODIE,Little Lies,Analogue,220007,2018-04-06,,1,link_playlist_18
USUYG1194991,1VGzxJnVQND7Cg5H5wGj14,Joji,YEAH RIGHT,BALLADS 1,174357,2018-10-26,,1,link_playlist_18
ITNTP2100009,0BenKrAgLeRYSEnO3RNsdl,Joan Thiele,Cinema,Atto I - Memoria del Futuro,230725,2021-02-12,,1,link_playlist_18
ITFR81910023,3oBVv54hTMSYXXJGxO5JxJ,Venerus,"Love Anthem, No. 1",Love Anthem,236809,2019-06-21,,1,link_playlist_18
USQX92000924,1ljglUWkHT85jxPnO3pJpE,Q,Who Will?,Thoughts,92656,2018-03-08,,1,link_playlist_18
USUYG1186923,63bAGRSSX2V1hhPSP2NpBC,ODIE,North Face,Analogue,196799,2018-04-06,,1,link_playlist_18
QZ5C81600005,35xSkNIXi504fcEwz9USRB,Frank Ocean,Solo,Blonde,257380,2016-08-20,,1,link_playlist_18
USUM71202995,7DfFc7a6Rwfi3YQMRbDMau,Frank Ocean,Thinkin Bout You,channel ORANGE,200746,2012-07-10,,1,link_playlist_18
TCACL1642154,4vzV11MKDc82D9r1YV61MQ,Russ,Moonlight in Atlanta,Moonlight in Atlanta,163500,2016-01-15,,1,link_playlist_18
QZNWU2241066,2XaULmrRsPXs60gPB1z5FX,Lorine Chia,Better Days,Drill & Blues,133633,2022-09-14,,1,link_playlist_18
USUM72304857,2f86Ae3R4OKAu1lEIqouih,Summer Walker,"To Summer, From Cole - Audio Hug",CLEAR 2: SOFT LIFE EP,147666,2023-05-19,,1,link_playlist_18
QM6N21983282,3uouaAVXpQR3X8RYkJyitQ,Daniel Caesar,CYANIDE,CASE STUDY 01,194959,2019-06-28,,1,link_playlist_18
SEYOK2225675,0pwQySxObaYRgpY61WsfKa,zaib,lontano,lontano,140571,2022-09-02,,1,link_playlist_18
ITUM72300360,3aVujWlpVrqvuMZvfUpRQu,Thoé,Fiori Stanchi,Fiori Stanchi,150256,2023-02-24,,1,link_playlist_18
ITDY32300060,4CmhDQAXV7lbRTMcOMbjbe,Lauryyn,Cambio di scena,Cambio di scena,169868,2023-05-26,,1,link_playlist_18
FR10S2381448,48CPVwgiR9oDY9EPBEJGhJ,Holden,LAMPI,LAMPI,179356,2023-01-27,,1,link_playlist_18
ITZ042000069,213CqOCyFDOLmCCrX0Imd4,Madame,sentimi,sentimi,187660,2020-04-24,,2,link_playlist_18;link_playlist_27
CAN111700009,1B62o4CbdL9ckGvwsz2cgn,SYML,Where's My Love,SYML,202009,2019-05-03,,1,link_playlist_19
QMBZ92014857,2QdSb68BzZGMgCbsrFmSLc,Tems,Higher,For Broken Ears,196204,2020-09-25,,1,link_playlist_19
QM5FT1600121,1KnJwhZU3DIBe54Q4HPpIl,Rihanna,Higher,ANTI (Deluxe),120626,2016-01-28,,1,link_playlist_19
USAT21000257,2M9ULmQwTaTGmAdXaXpfz5,Travie McCoy,Billionaire (feat. Bruno Mars),Billionaire (feat. Bruno Mars),211160,2010-03-09,,1,link_playlist_19
USAT21500597,3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Stressed Out,Blurryface,202333,2015-05-15,,1,link_playlist_19
CA0RZ1000020,0V5cvmTKsYmF5FmGGEAfmS,Patrick Watson,Je te laisserai des mots,Je te laisserai des mots,160853,2010-09-10,,1,link_playlist_19
USSM12106349,4BZRI2dHYQr4839VIewyoC,Labrinth,Kill For Your Love,Iridium,192170,2022-10-28,,1,link_playlist_20
USSM12208721,5amRolITZmPuqDQOqJ4aWr,Labrinth,Iridium,Iridium,166797,2022-10-28,,1,link_playlist_20
USSM12106350,5vueybLxjZ5kKjgOqNy4NK,Labrinth,Lift Off,Iridium,184933,2022-10-28,,1,link_playlist_20
USUYG1425371,0pq7v5FzfN7pv4qVk173a5,L.A.X,Waist Drop,Waist Drop,167142,2022-05-18,,1,link_playlist_20
ZAIF62100009,16vqEDaCZpq5zdgop8U9uM,Costa Titch,Big Flexa,Big Flexa,327079,2021-12-03,,1,link_playlist_20
USQX91902497,6EtKlIQmGPB9SX8UjDJG5s,Labrinth,"Formula (From ""Euphoria: Season 1"" Soundtrack)",Euphoria (Original Score from the HBO Series),91869,2019-10-04,,1,link_playlist_20
QZLBC2200246,7lMrIFrNAwSSdOrsk4glWa,Ray Laurél,COCONUT PERFUME,COCONUT PERFUME,165250,2022-06-29,,1,link_playlist_20
TCAEQ2083509,3hxIUxnT27p5WcmjGUXNwx,Hotel Ugly,Shut up My Moms Calling,Shut up My Moms Calling,164571,2020-02-10,,1,link_playlist_20
FRX202033479,7CmZEfItzI72t7bpXyzahl,Miles from Kinshasa,Wearing Smiles,Beloved,216000,2020-09-04,,1,link_playlist_20
UKX992100006,6fdzX7Qy7LN5uaJ0ukH6p5,Wesley Joseph,The Bloom,ULTRAMARINE,114001,2021-06-18,,1,link_playlist_20
ITDY32200016,4hZat4zoX4ghX3da67nYfl,Lauryyn,Cos'è una regola,Cos'è una regola,200058,2022-01-21,,1,link_playlist_20
US25X2102915,5KdfaHdg2mYtccCtPQrIhF,BLK ODYSSY,FUNKENTOLOGY,BLK VINTAGE,172829,2021-08-27,,1,link_playlist_20
QMBZ92014855,4vcUf8YqLi1mDeT9c0Wo6f,Tems,Ice T,For Broken Ears,247164,2020-09-25,,1,link_playlist_20
DEXC82200040,1echqVmMoUZE22trTEqfL5,BNXN,In My Mind - A COLORS SHOW,In My Mind - A COLORS SHOW,136800,2022-08-22,,1,link_playlist_20
QMGR32083119,3QSYCQV3OTXXn4AKoWVyZ5,Ogranya,Bleeding,Imperfect,162741,2020-03-27,,1,link_playlist_20
USRC12202700,4ut2mSEq13UEe1JAqo4fyR,Tems,Interference - Coke Studio Session,Interference (Coke Studio Session),200000,2021-09-03,,1,link_playlist_20
QM7282097237,3Xfwu3xtPqmJ4nM4jpBm8O,Tems,Damages,For Broken Ears,169411,2020-09-25,,1,link_playlist_20
TCACR1604215,3U3J5v3rkx89WnFEQvAJD5,Jessie Reyez,FIGURES,Kiddo,240906,2017-04-21,,1,link_playlist_20
USAT22204317,3LpbHOkTRZ0ls06L0xKdpH,Josh Levi,ALL OVER AGAIN,DISC TWO,127802,2022-06-09,,1,link_playlist_20
QZHN92035591,2LL8v2NXuuzkV9N1G2m7oE,Kid Travis,Galaxy,Strawberry Skies (Deluxe Edition),169415,2020-12-04,,1,link_playlist_20
ZB88P2100003,2qxgejJTaZIHNSHDD22Uhl,Kabza De Small,Abalele,Abalele,416321,2021-09-17,,1,link_playlist_20
ZB1OS2100044,3rDd1X68wGTaKYRATrcARb,Felo Le Tee,Dipatje Tsa Felo (feat. Daliwonga),Dipatje Tsa Felo (feat. Daliwonga),379285,2021-12-17,,1,link_playlist_20
ZAC012100313,22sG77yM0PrgIpbVKZ40yY,Busta 929,Mmapula,"Undisputed, Vol. 2",378958,2021-07-30,,1,link_playlist_20
USRC12102179,23CKxEwKWsLs6LD5poGOLM,Lucky Daye,Over,Candydrip,207420,2022-03-10,,1,link_playlist_20
USUM71812666,4at3d5QWnlibMVN75ECDrp,6LACK,Pretty Little Fears (feat. J. Cole),East Atlanta Love Letter,240341,2018-09-14,,1,link_playlist_20
US23A1528695,7rt29oUQmaX4oFE8RsaaND,Teni,HUSTLE,WONDALAND,173333,2021-03-19,,1,link_playlist_20
USRC12000832,45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,you broke me first,169265,2020-04-17,,1,link_playlist_20
NGA3B2201002,0xPz8qjfchKRCAmABJH65Z,Mavins,Won Da Mo,Won Da Mo,247680,2022-11-09,,1,link_playlist_20
FR9W12012327,7nYZ35H4GkNj1udlTrWGur,Terrenoire,La fin du Monde,Les Forces Contraires,233465,2020-08-28,,1,link_playlist_20
USUYG1421898,6R2gAXDiP5689wFxzP6qvl,L.A.X,Sempe - Acoustic,Sempe (Acoustic),98000,2022-04-04,,1,link_playlist_20
NGA3B2216004,1xs8bOvm3IzEYmcLJVOc34,Ayra Starr,Rush,19 & Dangerous (Deluxe),185093,2022-10-21,,1,link_playlist_20
USUYG1437868,46gfN72BxmLvACx6Pve4XU,Asake,Dull,Mr. Money With The Vibe,100173,2022-09-07,,1,link_playlist_20
USUYG1369226,0KCGBCA9Zm5FJeYv7dXe2a,June Freedom,Collabo,Anchor Baby,146133,2021-06-18,,1,link_playlist_20
USUYG1409776,7d1aTQlsHMgWmkPywDi7h1,Asake,Omo Ope (feat. Olamide),Omo Ope,166153,2022-01-18,,1,link_playlist_20
QMBZ92014862,4w4EJ9EaeogHLLEYlUXFDo,Tems,The Key,For Broken Ears,166153,2020-09-25,,1,link_playlist_20
GBUM72204191,1CcorUngVSo7k2GX8GLB53,FLO,Feature Me,The Lead,201621,2022-07-08,,1,link_playlist_20
QMAXQ2204866,3yu5otkADG1ldufrPxABoo,Yarden,Wetin,Wetin,78946,2022-11-17,,1,link_playlist_20
QMDA62229934,252ZECHopILLs10pMfE76N,RAYE,Flip A Switch.,My 21st Century Blues,201373,2023-02-03,,1,link_playlist_20
QM7282301344,2bJ1Di9op8Dx4ABfOP9M2h,AMARIA BB,Through The Phone Pt.2,6.9.4.2,116437,2023-06-29,,1,link_playlist_20
USSM12004501,1sbEeUY8KsdvgiQi26JBFz,DJ Khaled,POPSTAR (feat. Drake),KHALED KHALED,200221,2021-04-30,,1,link_playlist_21
USRC12000150,6MO2bfLHKykUgCChFdw91H,H.E.R.,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown) (feat. Pop Smoke)","Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown) (feat. Pop Smoke)",296011,2020-01-17,,1,link_playlist_21
GBUS91200018,1090OWoP6JTpYAaSSEBvGy,Maleek Berry,Kontrol,Kontrol,206315,2016-05-09,,1,link_playlist_21
USWB12000196,6WGTfHSQtUcEx5vgpxTLCs,PARTYNEXTDOOR,LOYAL (feat. Drake and Bad Bunny) - Remix,PARTYMOBILE,281119,2020-03-27,,1,link_playlist_21
FR6P12100120,5RBc2SUllAJG4gUZdXTBIj,Jorja Smith,Come Over (Remix),Come Over (Remix),145652,2021-02-25,,1,link_playlist_21
USSM12001261,4w47S36wQGBhGg073q3nt7,ROSALÍA,TKN (feat. Travis Scott),TKN (feat. Travis Scott),129370,2020-05-28,,1,link_playlist_21
GBARL1401524,32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson,Uptown Funk (feat. Bruno Mars),Uptown Special,269658,2015-01-12,,1,link_playlist_22
USWB10700721,18lR4BzEs7e3qzc0KVkTpU,Linkin Park,What I've Done,Minutes to Midnight,205226,2007-05-14,,1,link_playlist_22
USCM51600028,1zi7xx7UVEFkmKfv06H8x0,Drake,One Dance,Views,173986,2016-05-06,,1,link_playlist_22
USSM11703478,3B54sVLJ402zGa6Xm4YGNe,French Montana,Unforgettable,Jungle Rules,233901,2017-07-14,,1,link_playlist_22
USQX91300809,2Foc5Q5nqNiosCNqttzHof,Daft Punk,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],247632,2013-04-19,,1,link_playlist_22
ITB002201046,7EZcLhi3EhKMb408cHOQOU,Colapesce,Splash,Splash,209803,2023-02-09,,1,link_playlist_22
USEE10900522,5fdNHVZHbWB1AaXk4RBGVD,"Grover Washington, Jr.",Just the Two of Us,Winelight,443773,1980,,1,link_playlist_22
USJAY0300080,6ECp64rv50XVz93WvxXMGF,Maroon 5,This Love,Songs About Jane: 10th Anniversary Edition,206200,2002,,1,link_playlist_22
UKT6D2400001,79h0p7LxmMZahCWA2CLt3N,Sidy,Ero Oro,Ero Oro,148529,2024-03-22,,1,link_playlist_22
USRC11903460,60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Streets,Hot Pink,226978,2019-11-07,,1,link_playlist_23
US23A1500365,2169IKAivSUUFGcedGASXc,Stefflon Don,16 Shots,16 Shots,224727,2017-05-22,,1,link_playlist_23
QZPLS2028640,3t7NM4j6pmzJqck5sQdyAF,Kaliii,Do A Bitch,This Why They Mad Now,164702,2021-01-16,,1,link_playlist_23
USUM71303090,0USZx50eApN045zIIyjePN,Jeremih,All The Time,All The Time,264200,2013-01-01,,1,link_playlist_23
USUM72100076,15C4TnrrVdym7UykxQIOTZ,BRS Kash,Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix,Throat Baby (Go Baby) (with DaBaby & City Girls) [Remix],211609,2021-01-21,,1,link_playlist_23
USUM72013570,0SkoylFIzesXXugA657flk,Summer Walker,White Tee,Love Is...Passionate,211373,2021-02-05,,1,link_playlist_23
ITUM72000711,1n16h52XziJJhIvWAIlz6k,Geolier,Na Catena (feat. Roshelle),Emanuele (Marchio registrato),165742,2020-07-09,,2,link_playlist_24;link_playlist_26
GBARL1501370,6TaqooOXAEcijL6G1AWS2K,Snakehips,All My Friends (feat. Tinashe & Chance the Rapper),All My Friends (feat. Tinashe & Chance the Rapper),229737,2015-10-21,,1,link_playlist_24
ITUM72000490,1XQvMjA9IiIx1lAiTHSxQi,Carl Brave,Spigoli,Spigoli,256788,2020-05-12,,1,link_playlist_24
USRC12002998,7Bar1kLTmsRmH6FCKKMEyU,SZA,Hit Different,Hit Different,202007,2020-09-04,,1,link_playlist_24
USSM11701732,6yHkPtl6UQ7RjtJLBPzbJw,Future,Selfish (feat. Rihanna),HNDRXX,251422,2017-07-27,,2,link_playlist_24;link_playlist_26
USRC11902505,2rTnVB1bvwxHtaIl4uVu7f,H.E.R.,Slide,Slide,238321,2019-09-27,,2,link_playlist_24;link_playlist_27
USUM71907371,4CMrdHWqic0usIZfTrKoI3,DaniLeigh,Easy - Remix,Easy (Remix),186586,2019-05-31,,2,link_playlist_24;link_playlist_27
ITDF41800044,3xGD5KhnizETt7KQwxtUAc,Gemitaiz,Senza Di Me (feat. Venerus & Franco126),Senza Di Me,201961,2018-12-21,,1,link_playlist_24
ITUM71901148,5dsz7MTrNdN9aMTrnp7sOG,Marracash,CRUDELIA - I nervi,Persona,230922,2020-03-27,,1,link_playlist_24
QM5FT1600118,4pAl7FkDMNBsjykPXo91B3,Rihanna,Needed Me,ANTI (Deluxe),191600,2016-01-28,,1,link_playlist_24
QZ5C81600001,19YKaevk2bce4odJkP5L22,Frank Ocean,Nikes,Blonde,314075,2016-08-20,,1,link_playlist_25
QMJMT1902190,6XNANAB7sFvkfho6bMCp7o,Jaden,Summertime In Paris,ERYS (Deluxe),270960,2019-07-05,,1,link_playlist_25
USUG11900009,5zXmmhtXrhDbYnScaYpqZg,Jessie Reyez,Imported (with 6LACK),Imported (with 6LACK),225040,2019-04-09,,1,link_playlist_25
QZ5C81600003,3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,Blonde,184516,2016-08-20,,2,link_playlist_25;link_playlist_28
USUYG1164976,1roCVehSWSAMVwjn8s5z2R,NSTASIA,New Religion,NEW RELIGION,203294,2017-11-17,,3,link_playlist_25;link_playlist_27;link_playlist_28
QM24S1927163,2J6OF7CkpdQGSfm1wdclqn,Brent Faiyaz,Clouded,Fuck The World,110128,2020-02-07,,1,link_playlist_25
FRZ052000162,1Whf2ZaesM1gXlU0z3Fslt,Lous and The Yakuza,Dilemme (with tha Supreme & Mara Sattei),Dilemme (with tha Supreme & Mara Sattei),231333,2020-04-02,,1,link_playlist_26
USUM71703086,6SwRhMLwNqEi6alNPVG00n,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,DAMN.,227360,2017-04-14,,1,link_playlist_26
USAT21907227,3ucRKbRlikYHyoI17gfR0c,Kehlani,All Me (feat. Keyshia Cole),All Me (feat. Keyshia Cole),178347,2019-12-23,,1,link_playlist_27
USUM71919639,2xyx0o4xNOLLjBSbOOdcbA,Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,Over It,143226,2019-10-04,,1,link_playlist_27
USRC11903868,1ToprX3cpBiXoAe5eNSk74,Khalid,Eleven,Eleven,206360,2020-01-09,,1,link_playlist_27
USUG11801168,4o7WXic8yAQWOV7iJXZ4jD,Jessie Reyez,Body Count (feat. Normani & Kehlani) - Remix,Being Human In Public,158946,2018-10-19,,1,link_playlist_27
USUG11903518,1mEO3xiJqEWXYIdZalDzHR,Tiana Major9,"Collide - From ""Queen & Slim: The Soundtrack""","Collide (From ""Queen & Slim: The Soundtrack"")",205453,2019-10-10,,1,link_playlist_27
ITB001900775,5SkqgJels44XGgZEctDLZL,Roshelle,rosa naturale - feat. Emis Killa,rosa naturale (feat. Emis Killa),183870,2020-01-10,,1,link_playlist_27
ITWE52000001,0pFjYM7JdNJhjuooMgesks,Matteo Romano,Concedimi,Concedimi,189320,2020-11-17,,1,link_playlist_27
QMJMT1400589,3e90JC8EKLsSDUHmPpxkfp,WILLOW,9,3,253800,2014-11-11,,1,link_playlist_27
NL1TK1900001,1UReO1X8z8qcZRXXzly6FB,Duncan Laurence,Arcade,Loving You Is A Losing Game,185146,2020-11-23,,1,link_playlist_28
USUM72020441,3UoULw70kMsiVXxW0L3A33,Ariana Grande,pov,Positions,201882,2020-10-30,,1,link_playlist_28
FRZ052100063,0AGOXOfcDIRXwZtny26RDd,Lous and The Yakuza,Je ne sais pas (feat. Sfera Ebbasta),Je ne sais pas (feat. Sfera Ebbasta),194053,2021-02-26,,1,link_playlist_28
USUM72020428,42ukB60PjxgEmoTAHICfiN,Ariana Grande,just like magic,Positions (Deluxe),149900,2021-02-19,,1,link_playlist_28
ITZ042100004,1eIS75JS5rfbJpSu6ZC9EO,Madame,VOCE,VOCE,211410,2021-03-03,,1,link_playlist_28
USSM12000998,3FAJ6O0NOHQV8Mc5Ri6ENp,GIVĒON,Heartbreak Anniversary,TAKE TIME,198371,2020-03-27,,1,link_playlist_28
USRC12004189,3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,Good Days,279203,2020-12-25,,1,link_playlist_28
ITUM72001148,3tkYK45AZC0PqJ7MSe6IyJ,Sfera Ebbasta,Tik Tok (feat. Marracash & Guè),Famoso,230388,2020-12-18,,1,link_playlist_28
USSM12100531,3BZEcbdtXQSo7OrvKRJ6mb,Lil Nas X,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),137875,2021-03-26,,1,link_playlist_28
ITUM71900173,6NMSxpHkTeHmkY1gI0JuJ4,Mahmood,Remo,Gioventù Bruciata,188080,2019-02-22,,1,link_playlist_28
